pair_index,prev_time,prev_price,curr_time,curr_price,lower_level,upper_level
1,2025-02-18 17:47,151.526,2025-02-18 18:50,151.868,151.4576,151.9364
2,2025-02-18 18:50,151.868,2025-02-18 19:00,151.775,151.7564,151.8866
3,2025-02-18 19:00,151.775,2025-02-18 20:51,152.042,151.7216,152.0954
4,2025-02-18 20:51,152.042,2025-02-18 21:38,151.873,151.83919999999998,152.07580000000002
5,2025-02-18 21:38,151.873,2025-02-18 23:27,152.127,151.82219999999998,152.17780000000002
6,2025-02-18 23:27,152.127,2025-02-19 00:00,151.937,151.899,152.16500000000002
7,2025-02-19 00:00,151.937,2025-02-19 01:26,152.098,151.90480000000002,152.1302
8,2025-02-19 01:26,152.098,2025-02-19 02:08,151.831,151.77759999999998,152.15140000000002
9,2025-02-19 02:08,151.831,2025-02-19 03:02,152.114,151.77439999999999,152.1706
10,2025-02-19 03:02,152.114,2025-02-19 03:33,151.746,151.6724,152.1876
11,2025-02-19 03:33,151.746,2025-02-19 04:09,152.314,151.63240000000002,152.42759999999998
12,2025-02-19 04:09,152.314,2025-02-19 04:42,151.971,151.9024,152.3826
13,2025-02-19 04:42,151.971,2025-02-19 05:01,152.088,151.9476,152.1114
14,2025-02-19 05:01,152.088,2025-02-19 05:18,151.922,151.8888,152.1212
15,2025-02-19 05:18,151.922,2025-02-19 05:35,152.036,151.8992,152.0588
16,2025-02-19 05:35,152.036,2025-02-19 06:15,151.816,151.772,152.08
17,2025-02-19 06:15,151.816,2025-02-19 06:27,151.938,151.79160000000002,151.96239999999997
18,2025-02-19 06:27,151.938,2025-02-19 07:00,151.721,151.6776,151.98139999999998
19,2025-02-19 07:00,151.721,2025-02-19 07:27,151.872,151.6908,151.90220000000002
20,2025-02-19 07:27,151.872,2025-02-19 09:08,151.588,151.53119999999998,151.92880000000002
