time,price,type
2024-11-14 08:49:00,155.848,low
2024-11-14 09:00:00,155.962,high
2024-11-14 09:51:00,155.702,low
2024-11-14 10:01:00,155.873,high
2024-11-14 10:13:00,155.743,low
2024-11-14 12:28:00,156.243,high
2024-11-14 13:12:00,155.987,low
2024-11-14 13:32:00,156.143,high
2024-11-14 14:02:00,155.856,low
2024-11-14 14:30:00,156.028,high
2024-11-14 14:38:00,155.886,low
2024-11-14 14:53:00,156.022,high
2024-11-14 15:28:00,155.774,low
2024-11-14 15:38:00,156.194,high
2024-11-14 16:39:00,155.517,low
2024-11-14 17:03:00,155.873,high
2024-11-14 17:12:00,155.652,low
2024-11-14 17:44:00,156.077,high
2024-11-14 18:03:00,155.892,low
2024-11-14 18:09:00,156.041,high
2024-11-14 18:26:00,155.715,low
2024-11-14 19:13:00,156.04,high
2024-11-14 19:51:00,155.673,low
2024-11-14 20:34:00,155.942,high
2024-11-14 21:03:00,155.848,low
2024-11-14 22:14:00,156.419,high
2024-11-14 22:28:00,156.145,low
2024-11-14 22:54:00,156.42,high
2024-11-14 23:27:00,156.244,low
2024-11-14 23:53:00,156.322,high
2024-11-15 00:10:00,156.194,low
2024-11-15 01:17:00,156.453,high
2024-11-15 01:36:00,156.3,low
2024-11-15 02:49:00,156.75,high
2024-11-15 03:09:00,156.329,low
2024-11-15 03:44:00,156.634,high
2024-11-15 05:10:00,156.274,low
2024-11-15 06:00:00,156.545,high
2024-11-15 06:37:00,156.305,low
2024-11-15 08:02:00,156.505,high
2024-11-15 09:38:00,155.785,low
2024-11-15 09:49:00,155.933,high
2024-11-15 10:45:00,155.388,low
2024-11-15 11:25:00,155.73,high
2024-11-15 11:55:00,155.263,low
2024-11-15 12:01:00,155.397,high
2024-11-15 12:39:00,155.218,low
2024-11-15 14:42:00,155.627,high
2024-11-15 15:14:00,155.176,low
2024-11-15 15:33:00,155.719,high
2024-11-15 16:07:00,155.118,low
2024-11-15 16:15:00,155.401,high
2024-11-15 16:07:00,155.118,low
2024-11-15 16:50:00,155.78,high
2024-11-15 18:10:00,154.641,low
2024-11-15 18:30:00,154.91,high
2024-11-15 20:52:00,153.862,low
2024-11-15 21:47:00,154.343,high
2024-11-15 22:13:00,154.174,low
2024-11-15 22:39:00,154.422,high
2024-11-15 23:00:00,154.286,low
2024-11-18 00:13:00,154.509,high
2024-11-18 00:30:00,154.256,low
2024-11-18 01:15:00,154.751,high
2024-11-18 01:46:00,154.396,low
2024-11-18 01:59:00,154.681,high
2024-11-18 02:48:00,153.84,low
2024-11-18 03:27:00,155.145,high
2024-11-18 03:59:00,154.486,low
2024-11-18 04:12:00,154.804,high
2024-11-18 04:22:00,154.639,low
2024-11-18 04:45:00,154.924,high
2024-11-18 05:05:00,154.666,low
2024-11-18 05:37:00,154.892,high
2024-11-18 06:22:00,154.415,low
2024-11-18 07:26:00,154.763,high
2024-11-18 07:45:00,154.415,low
2024-11-18 08:05:00,154.629,high
2024-11-18 08:35:00,154.298,low
2024-11-18 09:43:00,154.768,high
2024-11-18 09:53:00,154.476,low
2024-11-18 11:00:00,154.972,high
2024-11-18 11:22:00,154.554,low
2024-11-18 13:05:00,155.125,high
2024-11-18 13:14:00,154.951,low
2024-11-18 13:05:00,155.125,high
