,detection_time,pivot_time,pivot_value,pivot_type
0,2025-02-17 00:56:00+00:00,2025-02-17 00:41:00+00:00,152.229,0.0
1,2025-02-17 01:21:00+00:00,2025-02-17 01:01:00+00:00,152.328,1.0
2,2025-02-17 01:32:00+00:00,2025-02-17 01:21:00+00:00,152.233,0.0
3,2025-02-17 01:52:00+00:00,2025-02-17 01:48:00+00:00,152.39,1.0
4,2025-02-17 02:19:00+00:00,2025-02-17 02:02:00+00:00,151.905,0.0
5,2025-02-17 02:34:00+00:00,2025-02-17 02:19:00+00:00,152.113,1.0
6,2025-02-17 03:31:00+00:00,2025-02-17 03:11:00+00:00,151.749,0.0
7,2025-02-17 03:40:00+00:00,2025-02-17 03:36:00+00:00,151.838,1.0
8,2025-02-17 03:50:00+00:00,2025-02-17 03:45:00+00:00,151.738,0.0
9,2025-02-17 04:11:00+00:00,2025-02-17 04:00:00+00:00,151.937,1.0
10,2025-02-17 05:17:00+00:00,2025-02-17 04:58:00+00:00,151.507,0.0
11,2025-02-17 05:55:00+00:00,2025-02-17 05:24:00+00:00,151.664,1.0
12,2025-02-17 06:06:00+00:00,2025-02-17 05:56:00+00:00,151.588,0.0
13,2025-02-17 06:43:00+00:00,2025-02-17 06:25:00+00:00,151.778,1.0
14,2025-02-17 07:30:00+00:00,2025-02-17 07:12:00+00:00,151.533,0.0
15,2025-02-17 07:48:00+00:00,2025-02-17 07:37:00+00:00,151.703,1.0
16,2025-02-17 08:18:00+00:00,2025-02-17 07:58:00+00:00,151.474,0.0
17,2025-02-17 09:02:00+00:00,2025-02-17 08:56:00+00:00,151.791,1.0
18,2025-02-17 09:31:00+00:00,2025-02-17 09:12:00+00:00,151.6,0.0
19,2025-02-17 10:24:00+00:00,2025-02-17 10:03:00+00:00,151.943,1.0
20,2025-02-17 10:32:00+00:00,2025-02-17 10:24:00+00:00,151.832,0.0
21,2025-02-17 10:46:00+00:00,2025-02-17 10:32:00+00:00,151.933,1.0
22,2025-02-17 11:23:00+00:00,2025-02-17 11:00:00+00:00,151.721,0.0
23,2025-02-17 11:34:00+00:00,2025-02-17 11:24:00+00:00,151.813,1.0
24,2025-02-17 11:42:00+00:00,2025-02-17 11:36:00+00:00,151.731,0.0
25,2025-02-17 12:18:00+00:00,2025-02-17 11:42:00+00:00,151.846,1.0
26,2025-02-17 13:10:00+00:00,2025-02-17 12:54:00+00:00,151.595,0.0
27,2025-02-17 13:44:00+00:00,2025-02-17 13:36:00+00:00,151.716,1.0
28,2025-02-17 14:59:00+00:00,2025-02-17 14:39:00+00:00,151.397,0.0
29,2025-02-17 15:42:00+00:00,2025-02-17 15:23:00+00:00,151.528,1.0
30,2025-02-17 16:27:00+00:00,2025-02-17 16:09:00+00:00,151.421,0.0
31,2025-02-17 16:45:00+00:00,2025-02-17 16:31:00+00:00,151.5,1.0
32,2025-02-17 18:18:00+00:00,2025-02-17 17:57:00+00:00,151.337,0.0
33,2025-02-17 19:21:00+00:00,2025-02-17 18:48:00+00:00,151.445,1.0
34,2025-02-17 19:41:00+00:00,2025-02-17 19:24:00+00:00,151.37,0.0
35,2025-02-17 19:59:00+00:00,2025-02-17 19:43:00+00:00,151.451,1.0
36,2025-02-17 23:01:00+00:00,2025-02-17 21:00:00+00:00,151.363,0.0
37,2025-02-18 00:04:00+00:00,2025-02-17 23:56:00+00:00,151.523,1.0
38,2025-02-18 00:36:00+00:00,2025-02-18 00:20:00+00:00,151.43,0.0
39,2025-02-18 01:32:00+00:00,2025-02-18 01:13:00+00:00,151.623,1.0
40,2025-02-18 01:56:00+00:00,2025-02-18 01:42:00+00:00,151.233,0.0
41,2025-02-18 02:55:00+00:00,2025-02-18 02:50:00+00:00,151.717,1.0
42,2025-02-18 03:16:00+00:00,2025-02-18 02:55:00+00:00,151.591,0.0
43,2025-02-18 03:50:00+00:00,2025-02-18 03:36:00+00:00,151.799,1.0
44,2025-02-18 04:11:00+00:00,2025-02-18 03:51:00+00:00,151.683,0.0
45,2025-02-18 05:02:00+00:00,2025-02-18 04:39:00+00:00,151.854,1.0
46,2025-02-18 05:10:00+00:00,2025-02-18 05:02:00+00:00,151.797,0.0
47,2025-02-18 05:36:00+00:00,2025-02-18 05:18:00+00:00,151.983,1.0
48,2025-02-18 05:44:00+00:00,2025-02-18 05:39:00+00:00,151.885,0.0
49,2025-02-18 06:23:00+00:00,2025-02-18 06:01:00+00:00,152.148,1.0
50,2025-02-18 06:36:00+00:00,2025-02-18 06:30:00+00:00,152.039,0.0
