,sml_detection_time,sml_pivot_time,sml_pivot_value,sml_pivot_type
0,2025-02-17 00:11:00+00:00,2025-02-17 00:08:00+00:00,152.2,0.0
1,2025-02-17 00:15:00+00:00,2025-02-17 00:11:00+00:00,152.26,1.0
2,2025-02-17 00:18:00+00:00,2025-02-17 00:17:00+00:00,152.214,0.0
3,2025-02-17 00:23:00+00:00,2025-02-17 00:18:00+00:00,152.231,1.0
4,2025-02-17 00:25:00+00:00,2025-02-17 00:23:00+00:00,152.221,0.0
5,2025-02-17 00:29:00+00:00,2025-02-17 00:26:00+00:00,152.239,1.0
6,2025-02-17 00:38:00+00:00,2025-02-17 00:33:00+00:00,152.215,0.0
7,2025-02-17 00:47:00+00:00,2025-02-17 00:38:00+00:00,152.246,1.0
8,2025-02-17 00:50:00+00:00,2025-02-17 00:47:00+00:00,152.222,0.0
9,2025-02-17 01:04:00+00:00,2025-02-17 01:01:00+00:00,152.328,1.0
10,2025-02-17 01:22:00+00:00,2025-02-17 01:20:00+00:00,152.179,0.0
11,2025-02-17 01:39:00+00:00,2025-02-17 01:35:00+00:00,152.384,1.0
12,2025-02-17 01:48:00+00:00,2025-02-17 01:44:00+00:00,152.32,0.0
13,2025-02-17 01:50:00+00:00,2025-02-17 01:48:00+00:00,152.39,1.0
14,2025-02-17 01:55:00+00:00,2025-02-17 01:51:00+00:00,152.039,0.0
15,2025-02-17 01:57:00+00:00,2025-02-17 01:55:00+00:00,152.107,1.0
16,2025-02-17 02:05:00+00:00,2025-02-17 02:02:00+00:00,151.905,0.0
17,2025-02-17 02:09:00+00:00,2025-02-17 02:06:00+00:00,152.028,1.0
18,2025-02-17 02:11:00+00:00,2025-02-17 02:10:00+00:00,151.907,0.0
19,2025-02-17 02:23:00+00:00,2025-02-17 02:19:00+00:00,152.113,1.0
20,2025-02-17 02:43:00+00:00,2025-02-17 02:40:00+00:00,151.87,0.0
21,2025-02-17 02:48:00+00:00,2025-02-17 02:45:00+00:00,151.951,1.0
22,2025-02-17 02:52:00+00:00,2025-02-17 02:49:00+00:00,151.838,0.0
23,2025-02-17 02:55:00+00:00,2025-02-17 02:53:00+00:00,151.931,1.0
24,2025-02-17 02:59:00+00:00,2025-02-17 02:55:00+00:00,151.788,0.0
25,2025-02-17 03:02:00+00:00,2025-02-17 02:59:00+00:00,151.891,1.0
26,2025-02-17 03:06:00+00:00,2025-02-17 03:04:00+00:00,151.762,0.0
27,2025-02-17 03:09:00+00:00,2025-02-17 03:08:00+00:00,151.828,1.0
28,2025-02-17 03:13:00+00:00,2025-02-17 03:11:00+00:00,151.749,0.0
29,2025-02-17 03:25:00+00:00,2025-02-17 03:24:00+00:00,151.892,1.0
30,2025-02-17 03:33:00+00:00,2025-02-17 03:30:00+00:00,151.763,0.0
31,2025-02-17 03:37:00+00:00,2025-02-17 03:36:00+00:00,151.838,1.0
32,2025-02-17 03:41:00+00:00,2025-02-17 03:39:00+00:00,151.767,0.0
33,2025-02-17 03:44:00+00:00,2025-02-17 03:41:00+00:00,151.807,1.0
34,2025-02-17 03:46:00+00:00,2025-02-17 03:45:00+00:00,151.738,0.0
35,2025-02-17 03:57:00+00:00,2025-02-17 03:54:00+00:00,151.9,1.0
36,2025-02-17 03:59:00+00:00,2025-02-17 03:57:00+00:00,151.848,0.0
37,2025-02-17 04:02:00+00:00,2025-02-17 04:00:00+00:00,151.937,1.0
